ubigeo,departamento,provincia,distrito,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO MORADO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POPULAR CRISTIANO - PPC,PERU PATRIA SEGURA,PODEMOS PERU,RENACIMIENTO UNIDO NACIONAL,RENOVACION POPULAR,UNION POR EL PERU,VICTORIA NACIONAL
940401,EUROPA,BELGICA,AMBERES,9,1,30,0,0,7,52,2,27,0,7,7,4,1,2,46,0,12
940402,EUROPA,BELGICA,BRUSELAS,41,10,123,1,2,67,258,16,41,8,42,12,5,23,9,167,6,48
940403,EUROPA,BELGICA,GANTE,7,2,23,0,1,5,29,1,4,0,1,2,2,0,0,12,0,10
940404,EUROPA,BELGICA,LIEJA,2,0,4,0,0,6,8,1,4,0,0,1,0,0,1,10,0,2
940601,EUROPA,REPUBLICA CHECA,PRAGA,2,0,10,0,0,5,16,1,7,0,2,2,0,1,1,11,0,4
940801,EUROPA,DINAMARCA,COPENHAGUE,4,0,25,0,1,5,37,0,5,0,2,2,0,0,0,22,0,5
940902,EUROPA,ESPA¿¿A,BARCELONA,696,336,1086,37,73,1135,1358,174,334,88,542,239,74,284,44,1682,37,661
940903,EUROPA,ESPA¿¿A,BILBAO,101,29,159,6,7,156,217,34,57,13,87,40,12,39,5,220,14,90
940905,EUROPA,ESPA¿¿A,SALAMANCA,40,6,45,4,1,29,54,6,21,16,31,7,6,16,3,92,4,34
940909,EUROPA,ESPA¿¿A,LAS PALMAS,12,0,25,0,1,19,22,2,5,2,9,9,0,9,1,26,1,9
940910,EUROPA,ESPA¿¿A,MADRID,1477,392,2334,69,126,2384,2585,364,740,201,1344,607,184,693,88,3516,100,1620
940911,EUROPA,ESPA¿¿A,MALAGA,14,2,28,0,2,13,39,4,7,1,1,17,0,2,0,26,0,6
940913,EUROPA,ESPA¿¿A,MALLORCA,53,13,87,3,7,66,59,15,29,7,30,21,6,12,1,111,3,47
940915,EUROPA,ESPA¿¿A,TENERIFE,19,0,32,0,0,24,28,4,8,0,10,7,1,2,0,33,0,24
940917,EUROPA,ESPA¿¿A,ZARAGOZA,65,25,92,0,7,75,97,10,24,10,48,24,9,27,8,132,3,45
